Timestamp,Sales_Count,Redemption_Count,Total_Activity_Load,Operational_Load_Index,Capacity_Utilization_Ratio,Congestion_Pressure_Index
2015-06-19,6514,6818,13332,0.013116667326027613,27.291966133204905,10.924656453677578
2015-06-20,4994,15399,20393,0.019816211029678486,166.11148893660382,66.45648530125935
2015-06-21,9930,10784,20714,0.018316539917204555,78.99728623961241,31.609904419795285
2015-06-22,5741,6535,12276,0.013421292083712465,12.30759790524398,4.931091937347821
2015-06-23,7461,4184,11645,0.010266883951458862,5.87320313227438,2.3554413832806276
2015-06-24,2494,6610,9104,0.009779147050678482,29.460005953262645,11.789869869535465
2015-06-25,3352,3890,7242,0.007304070894489061,13.008497406490994,5.20778140513309
2015-06-26,580,9887,10467,0.01074659932131092,131.34306450489245,52.54367376154977
2015-06-27,8569,1287,9856,0.010761869595987569,10.452837524303016,4.187592131478799
2015-06-28,318,427,745,0.0008859246951188241,2.5377318736602366,1.015624304281166
2015-06-29,1008,9389,10397,0.011540677678419882,91.28396587959419,36.52051075844473
2015-06-30,1641,2871,4512,0.0043933219923250385,32.24330111148676,12.899956437790099
2015-07-01,2118,16358,18476,0.01991743976737746,161.5474602653697,64.6309345700083
2015-07-02,2239,9679,11918,0.012064850864189486,89.51664988162375,35.81389886316802
2015-07-03,2666,11647,14313,0.012015285273317978,104.82813873368204,41.93846466463681
2015-07-04,2046,14685,16731,0.014409962614234283,180.3414837772639,72.1452394884741
2015-07-05,192,13781,13973,0.015533852654523363,219.5748853226676,87.83927444065975
2015-07-06,1615,8552,10167,0.010436601263965414,86.07728695190627,34.43717674152089
2015-07-07,2554,2846,5400,0.005772292993630573,11.400306798671272,4.563586095264688
2015-07-08,892,7261,8153,0.008483128152194893,39.37347232934271,15.754478808628402
2015-07-09,721,5229,5950,0.006172217886424478,24.748398306438798,9.903062653307375
2015-07-10,379,10069,10448,0.01072696611101237,128.83222484398112,51.53932611725906
2015-07-11,1015,13053,14068,0.01364863230894645,166.78811961666347,66.72343702605076
2015-07-12,695,10713,11408,0.012467416579850808,160.86025903789516,64.35158406510597
2015-07-13,7315,6768,14083,0.015656685218105967,3.2249198719163,1.2993619598973836
2015-07-14,1776,2118,3894,0.0038379107317014433,1.1506248780900776,0.46255269767505197
2015-07-15,7852,7717,15569,0.017040084749860435,1.150494860334897,0.47042199498387505
2015-07-16,8481,9427,17908,0.018163454803134214,1.5965946619001297,0.6495359376419325
